Place ID,ID_GERADO,ChIJ-SApQ2l_mQARnALEEfr3Yy8,ChIJP6FKmNV_mQAR3gKVAdeEyZ0,ChIJUSQw7WF_mQARQKXFPmK9_6A,ChIJDYuIul1-mQAR5XRi7ogx8_U,ChIJf1woiGR_mQARyXRjaTaeIBc,ChIJ0QTJyWF_mQAR4t3oNko2kQo,ChIJA0tgM6PVmwARYbqb7Eo9VO4,ChIJaXW-F2R_mQARjtqcwUcZSfM,ChIJXbKphbbVmwARkyFh0LoSTOY,ChIJvch0AuKBmQARa8EZwQfXKO4,ChIJrUO6YFDVmwARA_xn-WO3k3U,ChIJ8bDN5_Z-mQAROixoqiaG1gY,ChIJDYuIul1-mQARAafCRTkkdAQ,ChIJV30alGR_mQARXw03wD-LgiI,ChIJY5-Azn1_mQAR1nohflxBA_8,ChIJr02tNYV_mQARYiP3ZAzKpZ8,ChIJKTscSaV-mQARELVVUvouOCA,ChIJzyDl_eV-mQAReMW7fLq8c1o,ChIJRQHQkQ1_mQARfRZwxYdugdA,ChIJfw5LPHjVmwARI8TbAsKq5CQ,ChIJm2g1bV9_mQARapHw1bCoth8,ChIJn-4P7Fh_mQARpnoOXO4uihM,ChIJIe1CNFl_mQARG8VNRU8zMXY,ChIJoaaal6V-mQARN2GhWM0H4A0,ChIJ_daeFfB-mQARRgals-wQ6eQ,ChIJA-SWwIZ_mQARZhCvr4FdDjs,ChIJS1nNgmd_mQARQzyarreSaEM,ChIJ8wnYC-9_mQARcI4__yOG8TM,ChIJGx7BXoh-mQARK_B4SbrTjTI,ChIJ0d1kUQp-mQARZ17Wa3A9NKc,ChIJfVzFqCPVmwARUBFlJIm6e8k,ChIJ6ZhYkbd9mQARJJ0N13gYnw4,ChIJabwOd29_mQARKGuNjNLqwuM,ChIJIVr_4xB-mQARA3_foQEaiIA,ChIJiS4yHPp-mQARAgzgz4kGrs8,ChIJ3Vt-cOKBmQARV_PYv8SfH2A,ChIJcSsrEEd8mQARzsVXC8nv8uk,ChIJ4zqbyNV_mQAR_BSfApu9sEY
ChIJfVzFqCPVmwARUBFlJIm6e8k,"9,949746223","9,289419999","4,716227146","9,1560934","9,570451857","8,726605269","9,102896629","4,268402963","8,917043538","4,239915156","9,425422842","2,496376208","10,32021906","9,356115552","8,666396945","7,837583918","6,667479792","13,75586952","10,98686688","8,789367251","4,157547294","9,795511792","10,10393517","10,04770978","13,98237253","10,49724867","6,674404413","9,492687262","4,637475501","11,09750733","10,26111942",0,"12,90126966","8,877724792","8,213669296","9,962302918","10,12364883","14,82278482","10,67712753"
ChIJrUO6YFDVmwARA_xn-WO3k3U,"8,798863704","6,939045928","3,374529994","6,703445694","7,937639996","6,299773652","6,643639319","4,237812154","6,492580139","4,896219605","6,973940669",0,"8,579429765","7,732239052","6,233760898","5,365714634","4,247015146","12,01206316","9,076163108","6,549356995","3,146211113","7,340966309","7,653678944","7,60761373","12,23970941","8,650681777","4,223024256","7,083131456","2,284354913","9,527425147","9,094646179","2,496376208","11,77974152","6,491907564","7,097364966","8,115266798","7,669009079","13,47547633","10,71361639"
ChIJ3Vt-cOKBmQARV_PYv8SfH2A,"7,980361314","1,559692675","6,775118567","0,9675993101","5,799668919","1,449786628","1,027077077","9,037181581","1,281692195","10,29177452","0,6992889521","7,669009079","5,546893239","5,776352989","1,488423354","2,31827209","3,46961846","7,576345285","4,919499228","2,548719444","7,42820487","0,3282083941","0,08461839422","0,2689602455","7,751800583","5,065468748","3,449925494","0,9213716352","5,510461928","6,745007129","8,074780764","10,12364883","9,897294179","1,537120386","7,408776383","4,875053099",0,"10,32110865","12,67240768"
ChIJn-4P7Fh_mQARpnoOXO4uihM,"7,897274882","1,481834964","6,724725664","0,9503536984","5,716011539","1,411945053","1,019233573","8,984601596","1,238734108","10,24029414","0,6797437188","7,653678944","5,462274915","5,693226557","1,455287374","2,31198757","3,444696206","7,499570593","4,836258475","2,471805041","7,380315865","0,3206723295",0,"0,1845624415","7,675715425","4,981022301","3,43219853","0,8503278869","5,485834196","6,660524878","7,991153472","10,10393517","9,812877093","1,476443986","7,331030344","4,790496686","0,08461839422","10,24006267","12,59388909"
ChIJm2g1bV9_mQARapHw1bCoth8,"7,855838069","1,397691199","6,47741816","0,639608025","5,689705511","1,136982002","0,7005978563","8,743627264","0,9787700529","9,995604186","0,3727566557","7,340966309","5,4846375","5,654968978","1,169427033","1,993098841","3,14294097","7,652429942","4,917471765","2,366905882","7,125422245",0,"0,3206723295","0,3626650644","7,833740083","5,025123328","3,121720576","0,73259554","5,183483538","6,699803491","7,961640607","9,795511792","9,853596758","1,279787466","7,22240565","4,802251254","0,3282083941","10,34981417","12,490174"
ChIJ0QTJyWF_mQAR4t3oNko2kQo,"7,715566443","1,37112826","5,899522205","0,1285004741","5,599688649","0,6044783077",0,"8,173465188","0,5490652608","9,416176936","0,3541814287","6,643639319","5,503350994","5,539102406","0,5870950975","1,292772767","2,465154127","7,938549454","5,07080416","2,187064518","6,530329392","0,7005978563","1,019233573","1,010375158","8,130395275","5,096936389","2,428646838","0,8424110744","4,501278295","6,743628902","7,846797191","9,102896629","9,883622594","0,986130865","6,939255317","4,80710949","1,027077077","10,53017416","12,19960107"
ChIJIe1CNFl_mQARG8VNRU8zMXY,"7,713740807","1,308347796","6,604472503","0,9223712657","5,531848763","1,329202781","1,010375158","8,859275405","1,146271199","10,11704597","0,6569466445","7,60761373","5,278416783","5,509659992","1,382756145","2,29291618","3,38155552","7,340309809","4,658615635","2,299295932","7,265089814","0,3626650644","0,1845624415",0,"7,518263643","4,798655053","3,38472362","0,6955104867","5,420927258","6,477935117","7,807012336","10,04770978","9,630613206","1,341062561","7,156124313","4,606160869","0,2689602455","10,06889933","12,41747294"
ChIJvch0AuKBmQARa8EZwQfXKO4,"7,681253974","1,242213148","6,123068011","0,2707564571","5,53664198","0,7763162768","0,3541814287","8,39228112","0,6352505829","9,641752396",0,"6,973940669","5,386208196","5,489188655","0,8012671579","1,638793001","2,770474998","7,704564395","4,890076879","2,155632011","6,766524815","0,3727566557","0,6797437188","0,6569466445","7,892208828","4,953640066","2,752743453","0,6142511973","4,811215188","6,616508895","7,799474972","9,425422842","9,765992542","0,9965723738","6,981109131","4,695053265","0,6992889521","10,34339292","12,2486276"
ChIJY5-Azn1_mQAR1nohflxBA_8,"7,665489681","2,107240439","4,950025462","1,370617003","5,705998818","1,130492305","1,292772767","7,213423155","1,309632354","8,425318449","1,638793001","5,365714634","5,807973733","5,599891978","1,036735445",0,"1,306382247","8,628967537","5,616802674","2,45840906","5,527848628","1,993098841","2,31198757","2,29291618","8,83511427","5,508606457","1,190243383","1,915028876","3,279027881","7,052550907","7,842010109","7,837583918","10,11119775","1,552179078","6,626712384","5,118522304","2,31827209","11,01396205","11,79747777"
ChIJUSQw7WF_mQARQKXFPmK9_6A,"7,620682563","1,251597321","5,893670807",0,"5,497484437","0,5603822095","0,1285004741","8,165818707","0,4680725611","9,411866748","0,2707564571","6,703445694","5,390110306","5,439887332","0,5639208211","1,370617003","2,504627316","7,810924334","4,947752203","2,089089847","6,530766753","0,639608025","0,9503536984","0,9223712657","8,002554369","4,979132858","2,482752863","0,713941043","4,544599561","6,628885357","7,74878668","9,1560934","9,770977353","0,8920541226","6,865042958","4,694574585","0,9675993101","10,40690297","12,12837343"
ChIJA-SWwIZ_mQARZhCvr4FdDjs,"7,314820229","2,850924261","3,888142204","2,482752863","5,564380868","2,086769794","2,428646838","6,120064759","2,280765851","7,307599697","2,752743453","4,223024256","5,844252538","5,421286057","2,01588619","1,190243383","0,3035117056","8,95132202","5,883283972","2,79459629","4,420885693","3,121720576","3,43219853","3,38472362","9,168198011","5,656699363",0,"2,883862605","2,089551988","7,048081153","7,528157293","6,674404413","9,967877405","2,342382629","6,067566587","5,194989697","3,449925494","11,1004978","11,08351649"
ChIJ8wnYC-9_mQARcI4__yOG8TM,"7,24469665","4,66888702","2,425023181","4,544599561","6,004975786","4,094918044","4,501278295","4,385427169","4,283898158","5,469756233","4,811215188","2,284354913","6,544946691","5,814376051","4,038171151","3,279027881","2,041140291","9,924851513","6,919980235","4,268373199","2,724310177","5,183483538","5,485834196","5,420927258","10,151073","6,540962571","2,089551988","4,855430057",0,"7,598432599","7,513516449","4,637475501","10,15049144","4,242104324","5,68035161","6,015201956","5,510461928","11,64035758","10,13721914"
ChIJV30alGR_mQARXw03wD-LgiI,"7,220280747","1,119029526","5,330143031","0,5639208211","5,139345355","0,09790053104","0,5870950975","7,602001323","0,2760042018","8,848511895","0,8012671579","6,233760898","5,108875418","5,065142836",0,"1,036735445","1,999249879","7,725466034","4,77498257","1,732832089","5,968991551","1,169427033","1,455287374","1,382756145","7,925342443","4,741906595","2,01588619","0,8889702916","4,038171151","6,356636933","7,363622091","8,666396945","9,475953304","0,5886148453","6,387293772","4,410556211","1,488423354","10,22286283","11,64031758"
ChIJaXW-F2R_mQARjtqcwUcZSfM,"7,167556646","0,9036842085","5,498708047","0,4680725611","5,057458129","0,1941257691","0,5490652608","7,765010341",0,"9,01683823","0,6352505829","6,492580139","4,982811505","4,993922284","0,2760042018","1,309632354","2,250484378","7,518960584","4,598154098","1,642405256","6,148088452","0,9787700529","1,238734108","1,146271199","7,716212537","4,5934758","2,280765851","0,613325354","4,283898158","6,227041181","7,300465622","8,917043538","9,359699135","0,4420928951","6,397176281","4,285085869","1,281692195","10,05447278","11,6603041"
ChIJf1woiGR_mQARyXRjaTaeIBc,"7,158725037","1,021902609","5,346846183","0,5603822095","5,069491404",0,"0,6044783077","7,616569983","0,1941257691","8,865538355","0,7763162768","6,299773652","5,02826891","4,99808249","0,09790053104","1,130492305","2,059360496","7,630390322","4,684161717","1,658266761","5,990587807","1,136982002","1,411945053","1,329202781","7,829947418","4,656420339","2,086769794","0,8052991185","4,094918044","6,275442354","7,299187942","8,726605269","9,398115936","0,4967212032","6,344437067","4,329915679","1,449786628","10,13394181","11,60131909"
ChIJS1nNgmd_mQARQzyarreSaEM,"7,12518518","0,6654858078","5,928941226","0,713941043","4,963631074","0,8052991185","0,8424110744","8,177002995","0,613325354","9,436712447","0,6142511973","7,083131456","4,78433119","4,925573866","0,8889702916","1,915028876","2,836197192","7,104819938","4,275854547","1,638710099","6,595796395","0,73259554","0,8503278869","0,6955104867","7,294806924","4,343741143","2,883862605",0,"4,855430057","6,010195822","7,233623861","9,492687262","9,161641233","0,6612938754","6,498482305","4,096185216","0,9213716352","9,729815918","11,76502797"
ChIJr02tNYV_mQARYiP3ZAzKpZ8,"7,011791069","2,734824473","3,674038754","2,504627316","5,271964272","2,059360496","2,465154127","5,92421395","2,250484378","7,126716376","2,770474998","4,247015146","5,567205988","5,126573334","1,999249879","1,306382247",0,"8,705408355","5,635940387","2,586773226","4,231636561","3,14294097","3,444696206","3,38155552","8,923633432","5,393441222","0,3035117056","2,836197192","2,041140291","6,764662733","7,225816074","6,667479792","9,671620411","2,254590705","5,766623236","4,924396315","3,46961846","10,82204474","10,7961935"
ChIJXbKphbbVmwARkyFh0LoSTOY,"6,822010638","8,97339623","3,518692362","9,411866748","7,303203033","8,865538355","9,416176936","1,265116715","9,01683823",0,"9,641752396","4,896219605","8,174022454","7,101799554","8,848511895","8,425318449","7,126716376","11,33251608","9,139391911","8,13260365","2,898088085","9,995604186","10,24029414","10,11704597","11,54385824","8,556811467","7,307599697","9,436712447","5,469756233","8,539235907","7,12574283","4,239915156","9,527489574","8,77818469","5,264515583","8,087572288","10,29177452","11,67240778","6,466436399"
ChIJabwOd29_mQARKGuNjNLqwuM,"6,72996517","0,5550985203","5,268622664","0,8920541226","4,615686841","0,4967212032","0,986130865","7,519414007","0,4420928951","8,77818469","0,9965723738","6,491907564","4,545337743","4,553278279","0,5886148453","1,552179078","2,254590705","7,13904048","4,187441446","1,201271019","5,934592125","1,279787466","1,476443986","1,341062561","7,339708875","4,16435264","2,342382629","0,6612938754","4,242104324","5,790842751","6,860685929","8,877724792","8,920396643",0,"5,986980396","3,847261362","1,537120386","9,637847122","11,25371526"
ChIJ-SApQ2l_mQARnALEEfr3Yy8,"6,460011979",0,"5,492378516","1,251597321","4,301661187","1,021902609","1,37112826","7,709138527","0,9036842085","8,97339623","1,242213148","6,939045928","4,1472522","4,261164545","1,119029526","2,107240439","2,734824473","6,615700921","3,704233072","0,9910010276","6,175619005","1,397691199","1,481834964","1,308347796","6,813505671","3,727932103","2,850924261","0,6654858078","4,66888702","5,381862947","6,569936557","9,289419999","8,528196134","0,5550985203","5,849222502","3,454448844","1,559692675","9,163325605","11,11282075"
ChIJA0tgM6PVmwARYbqb7Eo9VO4,"5,974475777","7,709138527","2,275214999","8,165818707","6,195473526","7,616569983","8,173465188",0,"7,765010341","1,265116715","8,39228112","4,237812154","7,053543872","5,988032396","7,602001323","7,213423155","5,92421395","10,30440257","7,976922286","6,868043249","1,702394243","8,743627264","8,984601596","8,859275405","10,52101992","7,403353799","6,120064759","8,177002995","4,385427169","7,519946336","6,285874074","4,268402963","8,821154297","7,519414007","4,313096684","6,918099146","9,037181581","10,87904357","6,558944603"
ChIJfw5LPHjVmwARI8TbAsKq5CQ,"5,844565257","6,175619005","0,7029995801","6,530766753","5,450103959","5,990587807","6,530329392","1,702394243","6,148088452","2,898088085","6,766524815","3,146211113","6,237192034","5,235078378","5,968991551","5,527848628","4,231636561","9,644648415","7,007324792","5,406093779",0,"7,125422245","7,380315865","7,265089814","9,869572769","6,476829495","4,420885693","6,595796395","2,724310177","6,950190172","6,152291267","4,157547294","8,822835419","5,934592125","4,107255897","5,953753089","7,42820487","10,68055938","7,660148492"
ChIJRQHQkQ1_mQARfRZwxYdugdA,"5,532314311","0,9910010276","4,708497331","2,089089847","3,415533249","1,658266761","2,187064518","6,868043249","1,642405256","8,13260365","2,155632011","6,549356995","3,386266228","3,352056711","1,732832089","2,45840906","2,586773226","6,208382216","3,167285618",0,"5,406093779","2,366905882","2,471805041","2,299295932","6,419953894","3,054047869","2,79459629","1,638710099","4,268373199","4,635202536","5,660008279","8,789367251","7,744644025","1,201271019","4,860795671","2,68921833","2,548719444","8,558181881","10,12653822"
