Place ID,ID_GERADO,ChIJ-SApQ2l_mQARnALEEfr3Yy8,ChIJP6FKmNV_mQAR3gKVAdeEyZ0,ChIJUSQw7WF_mQARQKXFPmK9_6A,ChIJDYuIul1-mQAR5XRi7ogx8_U,ChIJf1woiGR_mQARyXRjaTaeIBc,ChIJ0QTJyWF_mQAR4t3oNko2kQo,ChIJA0tgM6PVmwARYbqb7Eo9VO4,ChIJaXW-F2R_mQARjtqcwUcZSfM,ChIJXbKphbbVmwARkyFh0LoSTOY,ChIJvch0AuKBmQARa8EZwQfXKO4,ChIJrUO6YFDVmwARA_xn-WO3k3U,ChIJ8bDN5_Z-mQAROixoqiaG1gY,ChIJDYuIul1-mQARAafCRTkkdAQ,ChIJV30alGR_mQARXw03wD-LgiI,ChIJY5-Azn1_mQAR1nohflxBA_8,ChIJr02tNYV_mQARYiP3ZAzKpZ8,ChIJKTscSaV-mQARELVVUvouOCA,ChIJzyDl_eV-mQAReMW7fLq8c1o,ChIJRQHQkQ1_mQARfRZwxYdugdA,ChIJfw5LPHjVmwARI8TbAsKq5CQ,ChIJm2g1bV9_mQARapHw1bCoth8,ChIJn-4P7Fh_mQARpnoOXO4uihM,ChIJIe1CNFl_mQARG8VNRU8zMXY,ChIJoaaal6V-mQARN2GhWM0H4A0,ChIJ_daeFfB-mQARRgals-wQ6eQ,ChIJA-SWwIZ_mQARZhCvr4FdDjs,ChIJS1nNgmd_mQARQzyarreSaEM,ChIJ8wnYC-9_mQARcI4__yOG8TM,ChIJGx7BXoh-mQARK_B4SbrTjTI,ChIJ0d1kUQp-mQARZ17Wa3A9NKc,ChIJfVzFqCPVmwARUBFlJIm6e8k,ChIJ6ZhYkbd9mQARJJ0N13gYnw4,ChIJabwOd29_mQARKGuNjNLqwuM,ChIJIVr_4xB-mQARA3_foQEaiIA,ChIJiS4yHPp-mQARAgzgz4kGrs8,ChIJ3Vt-cOKBmQARV_PYv8SfH2A,ChIJcSsrEEd8mQARzsVXC8nv8uk,ChIJ4zqbyNV_mQAR_BSfApu9sEY
ID_GERADO,0,"0,2516666667","0,6258333333","0,3708333333","0,1230555556","0,3241666667","0,3761111111","0,3705555556","0,325","0,4108333333","0,3283333333","0,4447222222","0,2430555556","0,1363888889","0,3297222222","0,4255555556","0,3372222222","0,3027777778","0,2838888889","0,2194444444","0,3063888889","0,3580555556","0,3088888889","0,2880555556","0,3022222222","0,2305555556","0,3536111111","0,3333333333","0,3677777778","0,1566666667","0,04138888889","0,4836111111","0,1625","0,3361111111","0,1891666667","0,2122222222","0,3836111111","0,2158333333","0,6180555556"
ChIJ-SApQ2l_mQARnALEEfr3Yy8,"0,2980555556",0,"0,5186111111","0,1975","0,1955555556","0,1508333333","0,2027777778","0,3136111111","0,1516666667","0,3538888889","0,155","0,34","0,2183333333","0,1738888889","0,1563888889","0,2522222222","0,2069444444","0,3330555556","0,1938888889","0,06861111111","0,2497222222","0,1847222222","0,2472222222","0,1227777778","0,3266666667","0,2105555556","0,2230555556","0,1597222222","0,2372222222","0,2161111111","0,2683333333","0,4266666667","0,3011111111","0,1580555556","0,3008333333","0,1875","0,2377777778","0,3836111111","0,7466666667"
ChIJP6FKmNV_mQAR3gKVAdeEyZ0,"0,6755555556","0,5202777778",0,"0,5836111111","0,5727777778","0,5555555556","0,5725","0,4383333333","0,5641666667","0,4783333333","0,6172222222","0,5125","0,5738888889","0,5513888889","0,5444444444","0,5116666667","0,4283333333","0,6605555556","0,5216666667","0,4763888889","0,3741666667","0,5930555556","0,6188888889","0,5605555556","0,6544444444","0,5380555556","0,4447222222","0,6019444444","0,4911111111","0,5936111111","0,6458333333","0,5513888889","0,6783333333","0,5355555556","0,6516666667","0,5744444444","0,5716666667","0,7025","0,8013888889"
ChIJUSQw7WF_mQARQKXFPmK9_6A,"0,3677777778","0,1480555556","0,5561111111",0,"0,2652777778","0,06111111111","0,06666666667","0,3836111111","0,08166666667","0,4236111111","0,09972222222","0,26","0,2880555556","0,2438888889","0,04972222222","0,1363888889","0,1883333333","0,4027777778","0,2638888889","0,1383333333","0,3194444444","0,1158333333","0,3169444444","0,1925","0,3966666667","0,2802777778","0,2047222222","0,1097222222","0,2852777778","0,2861111111","0,3383333333","0,4155555556","0,3708333333","0,1044444444","0,3705555556","0,2575","0,1311111111","0,4533333333","0,8163888889"
ChIJDYuIul1-mQAR5XRi7ogx8_U,"0,1988888889","0,1475","0,5213888889","0,2666666667",0,"0,22","0,2719444444","0,2663888889","0,2208333333","0,3066666667","0,2241666667","0,3405555556","0,1388888889","0,055","0,2255555556","0,3213888889","0,2330555556","0,2841666667","0,1797222222","0,1152777778","0,2022222222","0,2538888889","0,2047222222","0,1836111111","0,2836111111","0,1405555556","0,2494444444","0,2288888889","0,2636111111","0,1252777778","0,1691666667","0,3794444444","0,2102777778","0,2319444444","0,1819444444","0,1080555556","0,2794444444","0,2927777778","0,6277777778"
ChIJf1woiGR_mQARyXRjaTaeIBc,"0,3430555556","0,1230555556","0,5388888889","0,05972222222","0,2402777778",0,"0,09472222222","0,3586111111","0,02027777778","0,3988888889","0,1383333333","0,2941666667","0,2630555556","0,2188888889","0,08861111111","0,1725","0,2244444444","0,3777777778","0,2388888889","0,1102777778","0,2944444444","0,09972222222","0,2919444444","0,1677777778","0,3716666667","0,2552777778","0,2405555556","0,1486111111","0,2791666667","0,2611111111","0,3133333333","0,4494444444","0,3458333333","0,06666666667","0,3486111111","0,2325","0,1652777778","0,4283333333","0,7916666667"
ChIJ0QTJyWF_mQAR4t3oNko2kQo,"0,3758333333","0,1561111111","0,5672222222","0,08888888889","0,2733333333","0,07222222222",0,"0,3916666667","0,06916666667","0,4316666667","0,1108333333","0,2711111111","0,2961111111","0,2519444444","0,06083333333","0,1477777778","0,1997222222","0,4108333333","0,2719444444","0,1433333333","0,3275","0,06611111111","0,325","0,2005555556","0,4047222222","0,2883333333","0,2158333333","0,1211111111","0,2963888889","0,2941666667","0,3463888889","0,4266666667","0,3788888889","0,1158333333","0,3816666667","0,2655555556","0,1280555556","0,4613888889","0,8244444444"
ChIJA0tgM6PVmwARYbqb7Eo9VO4,"0,4122222222","0,3102777778","0,4441666667","0,4230555556","0,3097222222","0,3763888889","0,4508333333",0,"0,3775","0,1038888889","0,3808333333","0,2730555556","0,3247222222","0,2883333333","0,3819444444","0,3955555556","0,3144444444","0,4113888889","0,2725","0,2725","0,1077777778","0,4102777778","0,3547222222","0,3483333333","0,4052777778","0,2888888889","0,3305555556","0,3855555556","0,2813888889","0,3305555556","0,3827777778","0,2569444444","0,4152777778","0,3891666667","0,4183333333","0,3113888889","0,4091666667","0,4536111111","0,6369444444"
ChIJaXW-F2R_mQARjtqcwUcZSfM,"0,3602777778","0,1402777778","0,5663888889","0,04333333333","0,2575","0,05416666667","0,07833333333","0,3758333333",0,"0,4161111111","0,1222222222","0,2702777778","0,2805555556","0,2361111111","0,06","0,1558333333","0,2075","0,395","0,2561111111","0,1275","0,3119444444","0,08361111111","0,3091666667","0,185","0,3888888889","0,2725","0,2238888889","0,1322222222","0,3044444444","0,2783333333","0,3305555556","0,4258333333","0,3633333333","0,09805555556","0,3661111111","0,2497222222","0,1413888889","0,4458333333","0,8088888889"
ChIJXbKphbbVmwARkyFh0LoSTOY,"0,4486111111","0,3463888889","0,4805555556","0,4594444444","0,3458333333","0,4125","0,4644444444","0,1877777778","0,4136111111",0,"0,4169444444","0,2961111111","0,3608333333","0,3244444444","0,4183333333","0,4316666667","0,3505555556","0,4475","0,3086111111","0,3086111111","0,2044444444","0,4463888889","0,3908333333","0,3844444444","0,4413888889","0,325","0,3666666667","0,4216666667","0,3469444444","0,3666666667","0,4188888889","0,2405555556","0,4513888889","0,4252777778","0,4544444444","0,3475","0,4747222222","0,4897222222","0,6375"
