Place ID,ID_GERADO,ChIJ-SApQ2l_mQARnALEEfr3Yy8,ChIJP6FKmNV_mQAR3gKVAdeEyZ0,ChIJUSQw7WF_mQARQKXFPmK9_6A,ChIJDYuIul1-mQAR5XRi7ogx8_U,ChIJf1woiGR_mQARyXRjaTaeIBc,ChIJ0QTJyWF_mQAR4t3oNko2kQo,ChIJA0tgM6PVmwARYbqb7Eo9VO4,ChIJaXW-F2R_mQARjtqcwUcZSfM,ChIJXbKphbbVmwARkyFh0LoSTOY,ChIJvch0AuKBmQARa8EZwQfXKO4,ChIJrUO6YFDVmwARA_xn-WO3k3U,ChIJ8bDN5_Z-mQAROixoqiaG1gY,ChIJDYuIul1-mQARAafCRTkkdAQ,ChIJV30alGR_mQARXw03wD-LgiI,ChIJY5-Azn1_mQAR1nohflxBA_8,ChIJr02tNYV_mQARYiP3ZAzKpZ8,ChIJKTscSaV-mQARELVVUvouOCA,ChIJzyDl_eV-mQAReMW7fLq8c1o,ChIJRQHQkQ1_mQARfRZwxYdugdA,ChIJfw5LPHjVmwARI8TbAsKq5CQ,ChIJm2g1bV9_mQARapHw1bCoth8,ChIJn-4P7Fh_mQARpnoOXO4uihM,ChIJIe1CNFl_mQARG8VNRU8zMXY,ChIJoaaal6V-mQARN2GhWM0H4A0,ChIJ_daeFfB-mQARRgals-wQ6eQ,ChIJA-SWwIZ_mQARZhCvr4FdDjs,ChIJS1nNgmd_mQARQzyarreSaEM,ChIJ8wnYC-9_mQARcI4__yOG8TM,ChIJGx7BXoh-mQARK_B4SbrTjTI,ChIJ0d1kUQp-mQARZ17Wa3A9NKc,ChIJfVzFqCPVmwARUBFlJIm6e8k,ChIJ6ZhYkbd9mQARJJ0N13gYnw4,ChIJabwOd29_mQARKGuNjNLqwuM,ChIJIVr_4xB-mQARA3_foQEaiIA,ChIJiS4yHPp-mQARAgzgz4kGrs8,ChIJ3Vt-cOKBmQARV_PYv8SfH2A,ChIJcSsrEEd8mQARzsVXC8nv8uk,ChIJ4zqbyNV_mQAR_BSfApu9sEY
ID_GERADO,0,"7,393","21,523","9,569","2,682","8,984","9,359","13,22","8,977","14,245","8,717","14,388","5,912","2,633","9,145","10,883","10,908","8,664","7,199","6,666","11,475","9,087","10,345","8,402","8,593","6,866","11,053","8,638","11,542","4,803","0,58","16,768","3,949","8,176","3,46","4,897","14,049","6,751","13,404"
ChIJ-SApQ2l_mQARnALEEfr3Yy8,"8,291",0,"13,848","3,684","6,767","3,099","3,474","11,773","3,092","12,797","2,831","10,405","5,933","5,55","3,26","4,998","6,39","13,976","6,396","1,409","10,028","3,202","8,133","2,512","13,914","6,638","6,535","2,753","7,023","7,698","7,735","15,321","10,161","2,38","7,724","4,917","6,89","12,652","17,908"
ChIJP6FKmNV_mQAR3gKVAdeEyZ0,"16,23","12,627",0,"12,783","14,706","12,575","12,339","12,028","12,339","13,052","13,299","13,196","20,631","13,488","12,411","11,491","9,835","27,288","19,709","11,535","10,282","13,901","16,338","13,654","27,227","19,951","9,98","13,872","11,158","15,637","15,673","15,576","18,1","11,725","14,095","13,588","15,711","29,567","14,983"
ChIJUSQw7WF_mQARQKXFPmK9_6A,"9,611","2,828","12,581",0,"8,087","0,879","0,802","13,093","1,15","14,117","1,668","8,929","7,253","6,87","0,716","2,247","3,317","15,295","7,716","2,729","11,348","1,694","9,453","3,832","15,234","7,958","3,462","1,761","5,966","9,018","9,055","12,201","11,481","1,416","9,044","6,237","4,345","13,972","19,228"
ChIJDYuIul1-mQAR5XRi7ogx8_U,"4,264","4,896","19,026","7,072",0,"6,487","6,862","10,723","6,48","11,748","6,22","11,891","3,415","1,413","6,649","8,386","8,411","8,256","4,702","4,169","8,978","6,59","7,848","5,905","8,185","3,103","8,556","6,141","9,045","4,43","3,707","14,271","6,893","5,679","3,588","2,4","11,553","9,384","13,772"
ChIJf1woiGR_mQARyXRjaTaeIBc,"8,951","2,167","12,296","1,072","7,426",0,"1,649","12,432","0,269","13,456","2,585","9,246","6,592","6,209","1,633","3,164","4,235","14,635","7,056","1,945","10,687","1,917","8,792","3,171","14,573","7,297","4,38","2,679","7,56","8,357","8,394","12,517","10,821","0,716","7,006","5,577","4,662","13,311","18,567"
ChIJ0QTJyWF_mQAR4t3oNko2kQo,"9,574","2,791","12,748","1,636","8,05","1,047",0,"13,056","1,192","14,08","1,836","9,097","7,216","6,833","0,884","2,414","3,485","15,259","7,68","2,569","11,311","0,957","9,416","3,795","15,197","7,921","3,63","1,929","6,134","8,981","9,018","12,369","11,444","1,584","7,63","6,201","3,057","13,935","19,191"
ChIJA0tgM6PVmwARYbqb7Eo9VO4,"13,84","11,469","12,016","13,647","12,316","13,061","10,853",0,"13,055","2,313","12,794","5,491","12,316","11,098","13,223","9,743","8,262","18,974","11,395","10,305","2,207","13,164","13,942","12,471","18,913","11,636","8,407","12,716","5,562","13,247","13,283","5,467","15,71","11,815","11,692","11,198","13,494","21,252","19,078"
ChIJaXW-F2R_mQARjtqcwUcZSfM,"9,194","2,411","12,841","0,607","7,67","0,815","1,184","12,675",0,"13,7","2,12","9,19","6,835","6,452","0,977","2,715","3,786","14,878","7,299","2,188","10,93","1,452","9,035","3,415","14,817","7,54","3,93","2,214","6,434","8,601","8,637","12,462","11,064","1,438","7,25","5,82","4,606","13,554","18,811"
ChIJXbKphbbVmwARkyFh0LoSTOY,"15,582","13,211","13,758","15,389","14,058","14,804","15,179","3,769","14,797",0,"14,536","6,111","14,058","12,84","14,965","11,485","10,004","20,716","13,137","12,047","4,426","14,907","15,685","14,213","20,655","13,378","10,149","14,458","7,45","14,989","15,025","5,996","17,452","13,558","13,434","12,94","15,382","22,994","18,788"
